scan_code,match_type,lookup_timestamp
60517,Asset ID,2025-06-27T18:17:23.089693
60517,Asset ID,2025-06-27T18:17:31.232853
60517,Asset ID,2025-06-27T18:18:42.787447
60517,Asset ID,2025-06-27T18:19:24.914609
60517,Asset ID,2025-06-27T18:19:59.012051
060517,Not Found,2025-06-27T18:20:31.313861
60517,Asset ID,2025-06-27T18:23:23.862534
60517,Asset ID,2025-06-27T18:23:58.288181
60517,Asset ID,2025-06-27T18:32:20.390005
60517,Asset ID,2025-06-27T18:38:15.681334
6-524,Not Found,2025-06-27T18:38:20.664413
60522,Asset ID,2025-06-27T18:38:26.184291
60517,Asset ID,2025-06-28T14:55:56.574739
60517,Asset ID,2025-06-28T14:56:42.792374
60517,Asset ID,2025-06-28T14:56:59.167870
60517,Asset ID,2025-06-28T15:00:17.325442
60517,Asset ID,2025-06-28T15:00:29.150891
all,Not Found,2025-06-28T15:01:02.411183
print all labls,Not Found,2025-06-28T15:18:44.324129
all,Not Found,2025-06-28T15:18:50.845224
paint all labels,Not Found,2025-06-28T15:25:58.981591
print all labels,Not Found,2025-06-28T15:32:48.045471
print all labels,Not Found,2025-06-28T15:33:01.976549
60518,Asset ID,2025-06-28T15:37:44.323204
605127,Not Found,2025-06-28T19:57:19.851725
60518,Asset ID,2025-06-28T19:57:26.928526
